farm,house,harvest_type,total_harvest_stock,total_net_meat,harvest_days,kg_density
W03,H01,Culls,910,1092.0,1,39.5450011287125
W03,H01,Market,30801,65343.60189623701,1,39.5450011287125
W03,H02,Culls,884,1060.8,1,37.684347942382146
W03,H02,Market,27147,57934.148630403004,2,37.684347942382146
W03,H02,SH,2551,4314.755912799,1,37.684347942382146
W03,H03,Culls,858,1029.6,1,36.62858384858809
W03,H03,Market,26030,56172.68372314,1,36.62858384858809
W03,H03,SH,2584,4333.737142488,1,36.62858384858809
W03,H04,Culls,891,1069.2,1,38.95568023449761
W03,H04,Market,27349,60041.712413018,1,38.95568023449761
W03,H04,SH,2574,4334.630380938,1,38.95568023449761
W03,H05,Culls,856,1027.2,1,36.80053383013809
W03,H05,Market,26408,56693.80630884,1,36.80053383013809
W03,H05,SH,2488,4103.890525792,1,36.80053383013809
W03,H06,Culls,908,1089.6,1,35.56565253969643
W03,H06,Market,22761,46594.18626669,1,35.56565253969643
W03,H06,SH,7589,12066.51,1,35.56565253969643
W03,H07,Culls,827,992.4,1,36.0445183518125
W03,H07,Market,25507,55592.798886740995,1,36.0445183518125
W03,H07,SH,2408,3969.5919443039998,1,36.0445183518125
W03,H08,Culls,926,1111.2,1,37.54573307403273
W03,H08,Market,23161,49648.831564374996,1,37.54573307403273
W03,H08,SH,7698,12316.800000000001,1,37.54573307403273
W03,H09,Culls,878,1053.6,1,3.72400690965119
W03,H09,Market,593,1199.3827706299999,1,3.72400690965119
W03,H09,SH,2544,4003.3488375839997,1,3.72400690965119
W03,H10,Culls,847,1016.4,1,35.520855117380954
W03,H10,Market,21680,46850.6515972,1,35.520855117380954
W03,H10,SH,7357,11807.985,1,35.520855117380954
W03,H11,Culls,833,999.5999999999999,1,31.57059303857857
W03,H11,Market,19407,39995.573129241,1,31.57059303857857
W03,H11,SH,7461,12043.423175571,1,31.57059303857857
W03,H12,Culls,880,1056.0,1,36.24493046166369
W03,H12,Market,21965,47993.933175595004,1,36.24493046166369
W03,H12,SH,7355,11841.550000000001,1,36.24493046166369
W04,H01,Culls,895,1074.0,1,37.41724270222559
W04,H01,Market,22697,49786.967739739,1,37.41724270222559
W04,H01,SH,7500,12000.0,1,37.41724270222559
W04,H02,Culls,873,1047.6,1,35.54672307113928
W04,H02,Market,21951,46846.994759514,1,35.54672307113928
W04,H02,SH,7166,11823.9,1,35.54672307113928
W04,H03,Culls,919,1102.8,1,34.880550214325
W04,H03,Market,23154,45289.824360066,1,34.880550214325
W04,H03,SH,7535,12206.7,1,34.880550214325
W04,H04,Culls,797,956.4,1,34.05648646913036
W04,H04,Market,22108,48588.825838884004,1,34.05648646913036
W04,H04,SH,4785,7669.6714292550005,1,34.05648646913036
W04,H05,Culls,942,1130.3999999999999,1,39.283280965251194
W04,H05,Market,23778,51951.290206428,1,39.283280965251194
W04,H05,SH,7798,12914.221815194,1,39.283280965251194
W04,H06,Culls,806,967.1999999999999,1,34.133111172767265
W04,H06,Market,22383,48728.632175523,1,34.133111172767265
W04,H06,SH,4862,7647.794594726,1,34.133111172767265
W04,H07,Culls,860,1032.0,1,35.698986762713695
W04,H07,Market,22761,50626.037761359,2,35.698986762713695
W04,H07,SH,5102,8316.26,1,35.698986762713695
W04,H08,Culls,791,949.1999999999999,1,34.01777462913809
W04,H08,Market,21121,48530.062804149995,1,34.01777462913809
W04,H08,SH,4807,7670.598572802,1,34.01777462913809
W04,H09,Culls,875,1050.0,1,19.464145894261904
W04,H09,Market,10460,23389.52510236,1,19.464145894261904
W04,H09,SH,5228,8260.24,1,19.464145894261904
W04,H10,Culls,884,1060.8,1,38.675814794912505
W04,H10,Market,25517,58839.971712132006,1,38.675814794912505
W04,H10,SH,3247,5074.597143321,1,38.675814794912505
W04,H11,Culls,878,1053.6,1,36.657576157157145
W04,H11,Market,23209,52133.367944024,1,36.657576157157145
W04,H11,SH,5216,8397.76,1,36.657576157157145
W04,H12,Culls,900,1080.0,1,38.07515097596547
W04,H12,Market,26746,57791.403639621996,1,38.07515097596547
W04,H12,SH,3287,5094.85,1,38.07515097596547
W05,H01,Culls,992,1190.3999999999999,1,38.688625705251184
W05,H01,Market,28420,56217.211184821994,2,38.688625705251184
W05,H01,SH,4656,7589.28,1,38.688625705251184
W05,H02,Culls,827,992.4,1,31.141177286942266
W05,H02,Market,23729,45250.947842063004,1,31.141177286942266
W05,H02,SH,3906,6073.83,1,31.141177286942266
W05,H03,Culls,970,1164.0,1,39.94982350321428
W05,H03,Market,27815,58856.2384854,1,39.94982350321428
W05,H03,SH,4563,7095.465,1,39.94982350321428
W05,H04,Culls,810,972.0,1,33.960040424800006
W05,H04,Market,23154,50096.707913664,1,33.960040424800006
W05,H04,SH,3836,5984.16,1,33.960040424800006
W05,H05,Culls,931,1117.2,1,39.328632832232145
W05,H05,Market,26655,58069.00315815,1,39.328632832232145
W05,H05,SH,4372,6885.9,1,39.328632832232145
W05,H06,Culls,842,1010.4,1,35.89035493838095
W05,H06,Market,24305,53394.836296479996,1,35.89035493838095
W05,H06,SH,3776,5890.56,1,35.89035493838095
W05,H07,Culls,913,1095.6,1,38.91865234034107
W05,H07,Market,26137,57461.865931773,1,38.91865234034107
W05,H07,SH,4293,6825.87,1,38.91865234034107
W05,H08,Culls,835,1002.0,1,35.74820369634286
W05,H08,Market,24172,53140.857209856,1,35.74820369634286
W05,H08,SH,3755,5914.125,1,35.74820369634286
W05,H09,Culls,932,1118.3999999999999,1,35.286924059017856
W05,H09,Market,26695,51254.29241915,1,35.286924059017856
W05,H09,SH,4373,6909.34,1,35.286924059017856
W05,H10,Culls,826,991.1999999999999,1,35.04448563192916
W05,H10,Market,23769,51970.915861641,1,35.04448563192916
W05,H10,SH,3766,5912.62,1,35.04448563192916
W05,H11,Culls,822,986.4,1,30.255167201959523
W05,H11,Market,23396,44007.880899291995,2,30.255167201959523
W05,H11,SH,3740,5834.400000000001,1,30.255167201959523
W05,H12,Culls,810,972.0,1,35.05006711428155
W05,H12,Market,23773,52129.437751993006,1,35.05006711428155
W05,H12,SH,3695,5782.675,1,35.05006711428155
W08,H01,Culls,854,1024.8,1,37.26506135434762
W08,H01,Market,26504,57569.993075304,1,37.26506135434762
W08,H01,SH,2491,4010.51,1,37.26506135434762
W08,H02,Culls,783,939.5999999999999,1,29.829224634879765
W08,H02,Market,22889,45213.49738659801,2,29.829224634879765
W08,H02,SH,2475,3960.0,1,29.829224634879765
W08,H03,Culls,863,1035.6,1,36.21131031823393
W08,H03,Market,20904,47487.559723346,2,36.21131031823393
W08,H03,SH,7433,12311.841611287,1,36.21131031823393
W08,H04,Culls,834,1000.8,1,32.75960749721964
W08,H04,Market,25547,50123.260595329004,2,32.75960749721964
W08,H04,SH,2476,3912.0800000000004,1,32.75960749721964
W08,H05,Culls,820,984.0,1,31.348943535504162
W08,H05,Market,25664,47766.775139647,2,31.348943535504162
W08,H05,SH,2486,3915.45,1,31.348943535504162
W08,H06,Culls,852,1022.4,1,34.72504691384405
W08,H06,Market,25536,53352.47881525799,3,34.72504691384405
W08,H06,SH,2477,3963.2000000000003,1,34.72504691384405
W08,H07,Culls,838,1005.5999999999999,1,35.666235087500596
W08,H07,Market,23949,52031.214671031,1,35.666235087500596
W08,H07,SH,4166,6882.46027597,1,35.666235087500596
W08,H08,Culls,828,993.5999999999999,1,35.5102562846625
W08,H08,Market,25359,54876.038721897,1,35.5102562846625
W08,H08,SH,2442,3787.591836336,1,35.5102562846625
W08,H09,Culls,900,1080.0,1,36.85913994005
W08,H09,Market,22514,48703.755099284,1,36.85913994005
W08,H09,SH,7832,12139.6,1,36.85913994005
W08,H10,Culls,844,1012.8,1,35.215824155001194
W08,H10,Market,21262,46365.904580402,1,35.215824155001194
W08,H10,SH,7274,11783.880000000001,1,35.215824155001194
W08,H11,Culls,878,1053.6,1,36.50351762537857
W08,H11,Market,25290,52889.536384308,2,36.50351762537857
W08,H11,SH,4398,7382.773226328,1,36.50351762537857
W08,H12,Culls,866,1039.2,1,36.150832000670235
W08,H12,Market,24758,52427.747009381994,1,36.150832000670235
W08,H12,SH,4288,7266.450751744,1,36.150832000670235
W10,H01,Culls,921,1105.2,1,38.35354948389107
W10,H01,Market,26449,57931.433132937,2,38.35354948389107
W10,H01,SH,3342,5397.33,1,38.35354948389107
W10,H02,Culls,932,1118.3999999999999,1,3.957732142857142
W10,H02,SH,3393,5530.589999999999,1,3.957732142857142
W10,H03,Culls,914,1096.8,1,38.22816000167083
W10,H03,Market,26241,57733.133802807,2,38.22816000167083
W10,H03,SH,3319,5393.375,1,38.22816000167083
W10,H04,Culls,932,1118.3999999999999,1,36.18049673718333
W10,H04,Market,26883,54059.784518468005,2,36.18049673718333
W10,H04,SH,3397,5605.049999999999,1,36.18049673718333
W10,H05,Culls,914,1096.8,1,36.86959373942501
W10,H05,Market,27230,55326.277482234,2,36.86959373942501
W10,H05,SH,3324,5517.84,1,36.86959373942501
W10,H06,Culls,923,1107.6,1,38.9479466448
W10,H06,Market,27456,58686.870363263995,1,38.9479466448
W10,H06,SH,3356,5638.08,1,38.9479466448
W10,H07,Culls,916,1099.2,1,37.318495900236904
W10,H07,Market,26364,56182.998112397996,2,37.318495900236904
W10,H07,SH,3331,5412.875,1,37.318495900236904
W10,H08,Culls,923,1107.6,1,39.26476275886071
W10,H08,Market,30858,64857.201434885996,1,39.26476275886071
W10,H09,Culls,826,991.1999999999999,1,35.11460718212917
W10,H09,Market,23880,52134.96183516001,1,35.11460718212917
W10,H09,SH,3679,5866.378230816999,1,35.11460718212917
W10,H10,Culls,857,1028.3999999999999,1,32.66918014954048
W10,H10,Market,24772,47726.552651228,1,32.66918014954048
W10,H10,SH,3807,6129.27,1,32.66918014954048
W10,H11,Culls,1001,1201.2,1,41.43161557391309
W10,H11,Market,33458,68403.914164174,1,41.43161557391309
W10,H12,Culls,850,1020.0,1,33.69096757008571
W10,H12,Market,24607,49522.583233109995,2,33.69096757008571
W10,H12,SH,3781,6058.242284634,1,33.69096757008571
W12,H01,Culls,877,1052.3999999999999,1,36.756621691745245
W12,H01,Market,22428,48561.59944213201,1,36.756621691745245
W12,H01,SH,7469,12137.125,1,36.756621691745245
W12,H02,Culls,899,1078.8,1,36.78578647999048
W12,H02,Market,22384,48628.031286384,1,36.78578647999048
W12,H02,SH,7582,12093.289999999999,1,36.78578647999048
W12,H03,Culls,840,1008.0,1,35.45809889341667
W12,H03,Market,21468,47005.37114094,1,35.45809889341667
W12,H03,SH,7291,11556.235,1,35.45809889341667
W12,H04,Culls,876,1051.2,1,37.35931049519405
W12,H04,Market,22558,49269.048056698004,1,37.35931049519405
W12,H04,SH,7658,12443.393575228001,1,37.35931049519405
W12,H05,Culls,884,1060.8,1,36.548901421632145
W12,H05,Market,30528,60341.354388342,3,36.548901421632145
W12,H06,Culls,829,994.8,1,35.17576759215655
W12,H06,Market,23202,51036.614554823,2,35.17576759215655
W12,H06,SH,4347,7063.875,1,35.17576759215655
W12,H07,Culls,884,1060.8,1,3.3702051284642858
W12,H07,SH,2830,4601.14461582,1,3.3702051284642858
W12,H08,Culls,826,991.1999999999999,1,36.30736142764761
W12,H08,Market,24184,53118.877198448,1,36.30736142764761
W12,H08,SH,4331,6886.29,1,36.30736142764761
W12,H09,Culls,933,1119.6,1,40.252210131714286
W12,H09,Market,31840,66504.11302127999,1,40.252210131714286
W12,H10,Culls,818,981.5999999999999,1,35.49986286956071
W12,H10,Market,23814,51913.38962086199,1,35.49986286956071
W12,H10,SH,4242,6744.780000000001,1,35.49986286956071
W12,H11,Culls,918,1101.6,1,38.863890478069045
W12,H11,Market,32143,64189.736003156,2,38.863890478069045
W12,H12,Culls,836,1003.1999999999999,1,36.38197576954464
W12,H12,Market,23215,53293.529292834995,2,36.38197576954464
W12,H12,SH,4226,6824.99,1,36.38197576954464
W13,H01,Culls,827,992.4,1,32.812032956234525
W13,H01,Market,25253,48541.548068998,1,32.812032956234525
W13,H01,SH,3306,5590.267297476,1,32.812032956234525
W13,H02,Culls,925,1110.0,1,38.99042086270357
W13,H02,Market,27806,59674.660473592005,1,38.99042086270357
W13,H02,SH,2975,4719.2465757499995,1,38.99042086270357
W13,H03,Culls,812,974.4,1,35.53808085609762
W13,H03,Market,24476,53242.912868184,1,35.53808085609762
W13,H03,SH,3293,5486.662970060001,1,35.53808085609762
W13,H04,Culls,903,1083.6,1,38.448550304274995
W13,H04,Market,26538,58009.014511182,1,38.448550304274995
W13,H04,SH,3549,5500.95,1,38.448550304274995
W13,H05,Culls,820,984.0,1,36.24587491425893
W13,H05,Market,24719,54374.635074255,1,36.24587491425893
W13,H05,SH,3300,5534.4347817,1,36.24587491425893
W13,H06,Culls,843,1011.5999999999999,1,36.56486625975357
W13,H06,Market,25039,54878.077357404,1,36.56486625975357
W13,H06,SH,3294,5539.297958982001,1,36.56486625975357
W13,H07,Culls,788,945.5999999999999,1,33.634937504168455
W13,H07,Market,23166,50105.439269028,1,33.634937504168455
W13,H07,SH,3295,5455.655737975,1,33.634937504168455
W13,H08,Culls,850,1020.0,1,35.81048405480893
W13,H08,Market,25295,53568.666274515,1,35.81048405480893
W13,H08,SH,3298,5572.946937564,1,35.81048405480893
W13,H09,Culls,763,915.6,1,32.720701757614286
W13,H09,Market,22410,48940.43634288,1,32.720701757614286
W13,H09,SH,3228,5114.742609912,1,32.720701757614286
W13,H10,Culls,920,1104.0,1,40.33989866049107
W13,H10,Market,30881,66667.029749625,2,40.33989866049107
W13,H11,Culls,866,1039.2,1,37.47558910345714
W13,H11,Market,29118,61919.789693808,1,37.47558910345714
W13,H12,Culls,866,1039.2,1,37.52760365832143
W13,H12,Market,25180,56577.055949019996,2,37.52760365832143
W13,H12,SH,3436,5430.11819696,1,37.52760365832143
W17,H01,Culls,936,1123.2,1,39.850830674854166
W17,H01,Market,28269,61150.31053375499,1,39.850830674854166
W17,H01,SH,3007,4675.885,1,39.850830674854166
W17,H02,Culls,883,1059.6,1,37.914369000988096
W17,H02,Market,26480,57988.84272392,1,37.914369000988096
W17,H02,SH,2867,4647.69719774,1,37.914369000988096
W17,H03,Culls,940,1128.0,1,23.0908769029
W17,H03,Market,17276,32999.173196872,2,23.0908769029
W17,H03,SH,3010,4665.5,1,23.0908769029
W17,H04,Culls,869,1042.8,1,3.715412017827381
W17,H04,Market,249,532.104416721,1,3.715412017827381
W17,H04,SH,2857,4666.987773229,1,3.715412017827381
W17,H05,Culls,912,1094.3999999999999,1,39.24673480681071
W17,H05,Market,27467,60205.574475441994,1,39.24673480681071
W17,H05,SH,2924,4634.54,1,39.24673480681071
W17,H06,Culls,940,1128.0,1,3.4889404761904763
W17,H06,SH,3044,4733.42,1,3.4889404761904763
W17,H07,Culls,679,814.8,1,27.892762088816074
W17,H07,Market,19751,42508.190309211,1,27.892762088816074
W17,H07,SH,2190,3536.85,1,27.892762088816074
W17,H08,Culls,930,1116.0,1,3.811421576235714
W17,H08,SH,3297,5287.188248076,1,3.811421576235714
W17,H09,Culls,680,816.0,1,28.570930624616075
W17,H09,Market,19709,43733.913449355,2,28.570930624616075
W17,H09,SH,2190,3449.25,1,28.570930624616075
W17,H10,Culls,921,1105.2,1,3.80531454332381
W17,H10,SH,3272,5287.728432784001,1,3.80531454332381
W17,H11,Culls,646,775.1999999999999,1,27.701348466928568
W17,H11,Market,19430,42431.39542444,1,27.701348466928568
W17,H11,SH,2102,3331.67,1,27.701348466928568
W17,H12,Culls,934,1120.8,1,15.784583093349404
W17,H12,Market,5471,12214.535210776,1,15.784583093349404
W17,H12,SH,7901,13182.764386051,1,15.784583093349404
W20,H01,Culls,659,790.8,1,2.743011904761904
W20,H01,SH,2342,3817.4599999999996,1,2.743011904761904
W20,H02,Culls,902,1082.3999999999999,1,3.670017857142857
W20,H02,SH,3197,5083.2300000000005,1,3.670017857142857
W20,H03,Culls,660,792.0,1,0.4714285714285714
W20,H04,Culls,903,1083.6,1,3.7040476190476195
W20,H04,SH,3212,5139.200000000001,1,3.7040476190476195
W20,H05,Culls,649,778.8,1,5.034408730627977
W20,H05,Market,1935,4049.166667455,1,5.034408730627977
W20,H05,SH,2312,3629.84,1,5.034408730627977
W20,H06,Culls,904,1084.8,1,3.684696428571429
W20,H06,SH,3211,5105.490000000001,1,3.684696428571429
W20,H07,Culls,910,1092.0,1,3.7271428571428573
W20,H07,SH,3231,5169.6,1,3.7271428571428573
W20,H08,Culls,884,1060.8,1,36.38895429916666
W20,H08,Market,21944,48052.1982226,1,36.38895429916666
W20,H08,SH,7443,12020.445,1,36.38895429916666
W20,H09,Culls,829,994.8,1,3.449321428571429
W20,H09,SH,2963,4800.06,1,3.449321428571429
W20,H10,Culls,880,1056.0,1,36.26025114947917
W20,H10,Market,21835,47911.801931125,1,36.26025114947917
W20,H10,SH,7422,11949.42,1,36.26025114947917
W20,H11,Culls,829,994.8,1,3.4102380952380957
W20,H11,SH,2959,4734.400000000001,1,3.4102380952380957
W20,H12,Culls,859,1030.8,1,35.557724559213696
W20,H12,Market,21385,46470.993634975006,1,35.557724559213696
W20,H12,SH,7234,12235.183624504,1,35.557724559213696
